Belegungsfaktor: 20,0000000 | T(20): 1.583.689 | T1(20): 670.281 | T2(20): 360.156 | T3(20): 553.252
Belegungsfaktor: 10,0000000 | T(20): 1.572.863 | T1(20): 112.055 | T2(20): 1.141.028 | T3(20): 319.780
Belegungsfaktor: 6,6666667 | T(20): 498.543 | T1(20): 084.261 | T2(20): 144.238 | T3(20): 270.044
Belegungsfaktor: 5,0000000 | T(20): 1.387.958 | T1(20): 112.932 | T2(20): 099.182 | T3(20): 1.175.844
Belegungsfaktor: 4,0000000 | T(20): 376.247 | T1(20): 119.661 | T2(20): 115.566 | T3(20): 141.020
Belegungsfaktor: 3,3333333 | T(20): 18.046.389 | T1(20): 17.685.356 | T2(20): 246.345 | T3(20): 114.688
Belegungsfaktor: 2,8571429 | T(20): 689.005 | T1(20): 247.223 | T2(20): 320.658 | T3(20): 121.124
Belegungsfaktor: 2,5000000 | T(20): 438.564 | T1(20): 234.935 | T2(20): 094.500 | T3(20): 109.129
Belegungsfaktor: 2,2222222 | T(20): 327.972 | T1(20): 100.059 | T2(20): 100.059 | T3(20): 127.854
Belegungsfaktor: 2,0000000 | T(20): 202.166 | T1(20): 039.497 | T2(20): 080.749 | T3(20): 081.920
Belegungsfaktor: 1,8181818 | T(20): 191.926 | T1(20): 030.427 | T2(20): 077.531 | T3(20): 083.968
Belegungsfaktor: 1,6666667 | T(20): 215.918 | T1(20): 040.375 | T2(20): 084.846 | T3(20): 090.697
Belegungsfaktor: 1,5384615 | T(20): 249.564 | T1(20): 029.842 | T2(20): 131.658 | T3(20): 088.064
Belegungsfaktor: 1,4285714 | T(20): 233.179 | T1(20): 037.741 | T2(20): 110.592 | T3(20): 084.846
Belegungsfaktor: 1,3333333 | T(20): 256.292 | T1(20): 081.042 | T2(20): 089.819 | T3(20): 085.431
Belegungsfaktor: 1,2500000 | T(20): 169.106 | T1(20): 033.060 | T2(20): 066.121 | T3(20): 069.925
Belegungsfaktor: 1,1764706 | T(20): 181.687 | T1(20): 026.917 | T2(20): 075.190 | T3(20): 079.580
Belegungsfaktor: 1,1111111 | T(20): 381.513 | T1(20): 118.491 | T2(20): 069.339 | T3(20): 193.683
Belegungsfaktor: 1,0526316 | T(20): 403.748 | T1(20): 127.854 | T2(20): 108.836 | T3(20): 167.058
Belegungsfaktor: 1,0000000 | T(20): 372.152 | T1(20): 098.597 | T2(20): 193.683 | T3(20): 079.872
Belegungsfaktor: 0,9523810 | T(20): 185.490 | T1(20): 031.890 | T2(20): 082.505 | T3(20): 071.095
Belegungsfaktor: 0,9090909 | T(20): 162.670 | T1(20): 034.231 | T2(20): 059.685 | T3(20): 068.754
Belegungsfaktor: 0,8695652 | T(20): 183.735 | T1(20): 027.502 | T2(20): 057.929 | T3(20): 098.304
Belegungsfaktor: 0,8333333 | T(20): 196.023 | T1(20): 051.785 | T2(20): 066.121 | T3(20): 078.117
Belegungsfaktor: 0,8000000 | T(20): 165.010 | T1(20): 034.523 | T2(20): 066.999 | T3(20): 063.488
Belegungsfaktor: 0,7692308 | T(20): 662.089 | T1(20): 021.065 | T2(20): 561.737 | T3(20): 079.287
Belegungsfaktor: 0,7407407 | T(20): 147.163 | T1(20): 023.698 | T2(20): 059.392 | T3(20): 064.073
Belegungsfaktor: 0,7142857 | T(20): 187.539 | T1(20): 031.598 | T2(20): 067.292 | T3(20): 088.649
